wavelength_nm,l_MB_P,m_MB_P,s_MB_P
390,0.7117828340443075,0.2882171659556925,0.6255007303721193
395,0.7174918204624503,0.28250817953754975,0.7203107564163775
400,0.7185179570937903,0.2814820429062097,0.814299151390152
405,0.7141821667249588,0.285817833275041,0.9019826136752915
410,0.702955282077794,0.297044717922206,0.9643831013789672
415,0.6834267802446713,0.3165732197553287,0.997574171242991
420,0.6583640057247119,0.3416359942752881,0.9899992099018147
425,0.6296468523714535,0.37035314762854654,0.9412171944007874
430,0.6014040482702905,0.3985959517297095,0.8643718162111191
435,0.5754008970454316,0.4245991029545683,0.7653349400471752
440,0.5546761908933953,0.4453238091066048,0.6617859963828532
445,0.5391019564292641,0.4608980435707359,0.5525032768364163
450,0.5288566030380101,0.47114339696199004,0.4466086470852633
455,0.5235614731071478,0.47643852689285215,0.34648500494059076
460,0.521540308056757,0.478459691943243,0.259894997322526
465,0.5225595761629611,0.477440423837039,0.18850979000523
470,0.52587229325701,0.47412770674299,0.13120892553393199
475,0.5309722868796701,0.4690277131203298,0.08762957185699628
480,0.5371345828667291,0.4628654171332709,0.05651366854240585
485,0.5438331171048999,0.45616688289510005,0.035585646950098165
490,0.5509454917228715,0.4490545082771284,0.021932571977829916
495,0.5582970011026717,0.44170299889732834,0.01335669350810584
500,0.5658999574715827,0.4341000425284172,0.008057817688144175
505,0.5735540253673777,0.4264459746326224,0.004769297911267042
510,0.581411008398898,0.4185889916011019,0.002784580799776516
515,0.5895206732996132,0.4104793267003867,0.0016455404604635829
520,0.5975957030265552,0.40240429697344493,0.0009729886875792683
525,0.6059577145681434,0.39404228543185654,0.000578798737546071
530,0.6145710039720075,0.38542899602799247,0.0003455901273501456
535,0.6234417153634113,0.37655828463658864,0.00020743554911273711
540,0.6329011660303222,0.36709883396967785,0.00012446968531430337
545,0.6430326070081818,0.35696739299181834,0.00007523182082006933
550,0.6540023296093842,0.3459976703906159,0.000045828637833927794
555,0.6660981994255365,0.33390180057446345,0.0000280171518779149
560,0.6796834914348885,0.32031650856511146,0.000017314288591943796
565,0.6946422950048156,0.30535770499518455,0.000010805087854801976
570,0.7114008205795574,0.2885991794204425,0.000006833878294826132
575,0.7297395232365836,0.2702604767634164,0.000004393900994255053
580,0.7497055263758994,0.2502944736241006,0.0000028798645358493847
585,0.771038016754447,0.22896198324555295,0.000001916833761620861
590,0.792819284137771,0.20718071586222894,0.000001304169896014319
595,0.814986075981593,0.18501392401840697,0.0000009090452116450001
600,0.836931163631196,0.1630688363688039,0.0000006495578181070354
605,0.8581631605505081,0.14183683944949185,0.00000047614335651268196
610,0.8778763019233667,0.12212369807663327,0.0000003587994705631124
615,0.8957554186976376,0.10424458130236236,0.00000027798506621381744
620,0.911706383039828,0.08829361696017198,0.00000016129158122417315
625,0.9256799434527816,0.07432005654721838,0.00000013199693848389383
630,0.9373131547465384,0.06268684525346153,0.00000011143479728564694
635,0.9471167428592778,0.052883257140722194,0.00000009664451388059277
640,0.9554041554741476,0.044595844525852434,0.00000008581230239968192
645,0.9623743595072473,0.037625640492752827,0.00000007792342323463302
650,0.9675919337426416,0.032408066257358425,0.00000007264657482358965
655,0.9718620480848984,0.028137951915101544,0.00000006932143235320737
660,0.9753724830393737,0.024627516960626195,0.00000006744056361614646
665,0.9781139882327283,0.021886011767271712,0.00000006674253113740151
670,0.9800926226652543,0.019907377334745683,0.00000006711605411044717
675,0.9815367595451621,0.018463240454837913,0.0000000685292691508545
680,0.9825572400431217,0.01744275995687826,0.00000007098072068401847
685,0.9832430555526466,0.016756944447353532,0.0000000745095522769839
690,0.983664311264839,0.01633568873516098,0.00000007921757665086062
695,0.9838236659718502,0.016176334028149858,0.00000008464022168550585
700,0.9837750440428727,0.016224955957127165,0.0000000910671115837558
705,0.9836040048730339,0.0163959951269661,0.00000009865409997068626
710,0.9833424497461806,0.01665755025381946,0.00000010771208961869128
715,0.982975680209011,0.017024319790988996,0.00000011811145232447728
720,0.9825396071070296,0.01746039289297038,0.00000012967555548551654
725,0.9820554773853951,0.01794452261460477,0.0000001426721129904252
730,0.9815269426415583,0.018473057358441635,0.0000001569664294175206
735,0.9809749776104763,0.01902502238952373,0.00000017279734522195079
740,0.9803834607101733,0.019616539289826616,0.00000019032893096184108
745,0.9797262480411018,0.020273751958898155,0.0000002090351270968114
750,0.9790560653889844,0.020943934611015656,0.00000022956681597767968
755,0.978350158285717,0.021649841714282907,0.000000251674425352373
760,0.9775932124999996,0.0224067875000003,0.0000002754562640003715
765,0.9768096864740536,0.02319031352594626,0.000000301284961515103
770,0.9759843479707094,0.024015652029290513,0.000000329021558844337
775,0.9751161110203491,0.02488388897965091,0.0000003594998941343132
780,0.9741750700210476,0.02582492997895235,0.00000039200642870562385
